SEASON_ID,Player_ID,Game_ID,MIN,REB,STL,BLK
22022,1628991,0022201208,27,4,1,3
22022,1628991,0022201194,41,9,1,4
22022,1628991,0022201184,33,7,0,1
22022,1628991,0022201165,29,8,0,1
22022,1628991,0022201156,26,8,2,3
22022,1628991,0022201133,26,10,0,3
22022,1628991,0022201115,34,8,3,5
22022,1628991,0022201100,26,7,2,2
22022,1628991,0022201088,35,10,1,2
22022,1628991,0022201075,23,4,0,1
22022,1628991,0022201061,29,7,0,4
22022,1628991,0022201052,43,5,1,4
22022,1628991,0022201036,28,9,2,1
22022,1628991,0022201023,24,5,1,0
22022,1628991,0022201010,33,7,0,2
22022,1628991,0022200996,32,9,1,1
22022,1628991,0022200984,31,8,1,2
22022,1628991,0022200970,35,5,2,2
22022,1628991,0022200952,31,6,0,3
22022,1628991,0022200938,29,4,0,5
22022,1628991,0022200927,32,7,1,4
22022,1628991,0022200907,21,3,1,1
22022,1628991,0022200889,33,9,1,4
22022,1628991,0022200879,31,9,5,4
22022,1628991,0022200855,20,7,1,0
22022,1628991,0022200841,28,6,1,4
22022,1628991,0022200819,32,3,2,5
22022,1628991,0022200805,32,8,0,4
22022,1628991,0022200771,34,7,0,6
22022,1628991,0022200753,38,8,1,5
22022,1628991,0022200737,28,7,2,2
22022,1628991,0022200726,28,6,0,0
22022,1628991,0022200712,28,5,1,1
22022,1628991,0022200703,23,4,0,3
22022,1628991,0022200690,33,6,1,4
22022,1628991,0022200672,28,7,2,4
22022,1628991,0022200663,26,8,2,6
22022,1628991,0022200643,22,10,1,2
22022,1628991,0022200623,27,12,0,2
22022,1628991,0022200608,30,6,0,5
22022,1628991,0022200600,29,8,3,5
22022,1628991,0022200576,32,10,1,3
22022,1628991,0022200564,24,8,0,3
22022,1628991,0022200547,29,7,0,3
22022,1628991,0022200543,30,6,3,6
22022,1628991,0022200526,29,5,0,2
22022,1628991,0022200510,26,8,2,3
22022,1628991,0022200496,21,2,1,2
22022,1628991,0022200490,28,10,1,2
22022,1628991,0022200465,22,2,3,5
22022,1628991,0022200443,28,8,0,0
22022,1628991,0022200425,13,6,0,0
22022,1628991,0022200404,24,7,0,8
22022,1628991,0022200383,30,5,2,4
22022,1628991,0022200368,26,3,2,5
22022,1628991,0022200347,30,3,0,1
22022,1628991,0022200332,26,9,1,4
22022,1628991,0022200317,25,11,0,2
22022,1628991,0022200296,30,5,1,0
22022,1628991,0022200279,22,4,1,3
22022,1628991,0022200257,27,3,2,5
22022,1628991,0022200229,25,12,2,3
22022,1628991,0022200206,25,6,0,5
22021,203935,0022101223,26,3,1,0
22021,203935,0022101198,30,1,2,0
22021,203935,0022101193,26,2,1,1
22021,203935,0022101166,24,1,0,0
22021,203935,0022101153,34,2,1,0
22021,203935,0022101139,35,5,3,0
22021,203935,0022101127,40,10,0,1
22021,203935,0022101116,27,3,2,0
22021,203935,0022101087,27,3,1,0
22021,203935,0022101068,29,1,0,0
22021,203935,0022101057,27,4,4,0
22021,203935,0022101042,34,4,1,0
22021,203935,0022101014,34,7,1,1
22021,203935,0022100997,33,3,5,0
22021,203935,0022100981,32,3,0,0
22021,203935,0022100960,35,3,1,0
22021,203935,0022100940,35,2,0,0
22021,203935,0022100927,37,6,1,1
22021,203935,0022100914,35,3,0,0
22021,203935,0022100905,29,4,3,0
22021,203935,0022100890,30,3,2,0
22021,203935,0022100869,13,0,0,0
22021,203935,0022100856,35,6,0,0
22021,203935,0022100842,39,5,4,0
22021,203935,0022100817,28,1,1,1
22021,203935,0022100806,25,8,1,1
22021,203935,0022100788,25,4,1,0
22021,203935,0022100775,33,4,0,1
22021,203935,0022100762,28,2,2,0
22021,203935,0022100745,30,3,1,0
22021,203935,0022100737,32,6,1,0
22021,203935,0022100717,24,3,1,0
22021,203935,0022100699,31,4,4,0
22021,203935,0022100609,23,3,1,0
22021,203935,0022100595,25,3,4,0
22021,203935,0022100578,31,2,0,0
22021,203935,0022100570,33,5,3,1
22021,203935,0022100546,44,7,1,2
22021,203935,0022100529,39,9,0,0
22021,203935,0022100489,40,2,1,0
22021,203935,0022100471,32,2,3,0
22021,203935,0022100457,36,6,2,1
22021,203935,0022100445,34,1,1,0
22021,203935,0022100435,35,6,1,0
22021,203935,0022100408,30,5,0,0
22021,203935,0022100390,31,2,2,0
22021,203935,0022100378,37,7,4,0
22021,203935,0022100365,33,4,3,0
22021,203935,0022100347,23,2,0,0
22021,203935,0022100339,37,2,4,0
22021,203935,0022100322,32,2,2,0
22021,203935,0022100302,36,8,0,0
22021,203935,0022100287,33,7,1,1
22021,203935,0022100270,36,3,2,1
22021,203935,0022100256,28,3,1,0
22021,203935,0022100243,35,1,2,1
22021,203935,0022100232,30,8,1,0
22021,203935,0022100215,35,3,2,0
22021,203935,0022100199,37,4,2,0
22021,203935,0022100190,34,4,5,0
22021,203935,0022100175,42,6,3,0
22021,203935,0022100160,35,3,3,1
22021,203935,0022100136,36,2,1,0
22021,203935,0022100121,30,4,1,0
22021,203935,0022100110,33,4,1,1
22021,203935,0022100098,33,1,4,0
22021,203935,0022100056,36,2,3,0
22021,203935,0022100041,38,4,3,1
22021,203935,0022100037,36,6,3,0
22021,203935,0022100020,29,0,2,1
22021,203935,0022100005,46,8,2,0
22020,203497,0022001077,28,16,0,2
22020,203497,0022001056,27,18,1,2
22020,203497,0022001045,34,20,1,1
22020,203497,0022001030,31,15,0,0
22020,203497,0022001016,31,14,1,3
22020,203497,0022001008,35,9,1,2
22020,203497,0022000996,22,8,0,0
22020,203497,0022000981,30,15,2,3
22020,203497,0022000965,34,16,1,1
22020,203497,0022000955,24,10,0,3
22020,203497,0022000942,24,10,1,5
22020,203497,0022000923,35,5,1,3
22020,203497,0022000909,36,17,0,1
22020,203497,0022000887,26,18,0,2
22020,203497,0022000875,29,10,1,2
22020,203497,0022000844,38,23,1,4
22020,203497,0022000826,34,14,1,7
22020,203497,0022000820,33,12,0,0
22020,203497,0022000801,32,11,1,2
22020,203497,0022000787,32,20,0,1
22020,203497,0022000783,37,18,3,0
22020,203497,0022000764,34,15,0,2
22020,203497,0022000752,20,6,0,4
22020,203497,0022000743,32,13,0,2
22020,203497,0022000725,36,12,1,2
22020,203497,0022000715,28,17,2,4
22020,203497,0022000700,27,14,0,2
22020,203497,0022000691,32,9,0,2
22020,203497,0022000676,24,11,0,3
22020,203497,0022000656,33,10,0,9
22020,203497,0022000634,35,16,0,2
22020,203497,0022000166,33,13,2,2
22020,203497,0022000609,33,12,0,4
22020,203497,0022000594,32,28,2,4
22020,203497,0022000584,32,13,0,6
22020,203497,0022000545,38,9,2,1
22020,203497,0022000533,33,9,1,5
22020,203497,0022000516,30,16,1,2
22020,203497,0022000507,37,12,1,2
22020,203497,0022000497,27,9,0,1
22020,203497,0022000478,30,12,0,6
22020,203497,0022000457,31,15,0,3
22020,203497,0022000444,32,20,1,1
22020,203497,0022000423,32,9,1,2
22020,203497,0022000410,30,12,0,3
22020,203497,0022000402,35,12,0,4
22020,203497,0022000379,36,12,0,3
22020,203497,0022000363,31,16,0,3
22020,203497,0022000342,27,15,0,4
22020,203497,0022000338,27,12,0,2
22020,203497,0022000325,29,7,0,3
22020,203497,0022000306,25,8,0,1
22020,203497,0022000297,25,12,0,2
22020,203497,0022000282,37,20,3,3
22020,203497,0022000270,32,19,0,4
22020,203497,0022000242,24,14,0,1
22020,203497,0022000227,30,11,0,4
22020,203497,0022000214,30,18,1,3
22020,203497,0022000200,33,13,0,2
22020,203497,0022000186,28,13,0,4
22020,203497,0022000159,25,10,1,1
22020,203497,0022000141,34,19,0,4
22020,203497,0022000129,33,14,1,4
22020,203497,0022000112,35,11,0,5
22020,203497,0022000102,27,11,0,2
22020,203497,0022000089,27,16,0,6
22020,203497,0022000077,24,9,1,1
22020,203497,0022000068,34,14,1,1
22020,203497,0022000043,37,10,1,4
22020,203497,0022000028,29,16,0,1
22020,203497,0022000020,28,17,1,0
22019,203507,0021901303,10,9,1,0
22019,203507,0021901284,33,13,0,5
22019,203507,0021901269,30,12,0,1
22019,203507,0021901256,16,6,0,0
22019,203507,0021901248,33,18,0,1
22019,203507,0021901236,32,15,1,1
22019,203507,0021900939,36,11,1,0
22019,203507,0021900924,28,12,1,0
22019,203507,0021900906,31,15,1,1
22019,203507,0021900895,35,20,1,0
22019,203507,0021900882,27,13,0,0
22019,203507,0021900858,38,19,0,3
22019,203507,0021900851,25,14,0,1
22019,203507,0021900840,29,17,0,1
22019,203507,0021900820,32,16,3,1
22019,203507,0021900777,34,18,0,2
22019,203507,0021900766,35,20,1,0
22019,203507,0021900751,33,17,1,1
22019,203507,0021900739,31,19,1,1
22019,203507,0021900724,32,16,1,2
22019,203507,0021900669,32,16,0,1
22019,203507,0021900647,31,14,1,1
22019,203507,0021900627,25,12,1,0
22019,203507,0021900615,35,17,0,2
22019,203507,0021900601,21,9,0,1
22019,203507,0021900583,29,17,0,0
22019,203507,0021900575,28,10,1,0
22019,203507,0021900562,32,13,1,0
22019,203507,0021900546,34,12,3,1
22019,203507,0021900531,29,8,1,0
22019,203507,0021900506,31,17,0,2
22019,203507,0021900493,27,10,0,0
22019,203507,0021900456,30,14,1,1
22019,203507,0021900441,31,19,2,2
22019,203507,0021900434,26,11,2,0
22019,203507,0021900417,32,11,1,1
22019,203507,0021900398,34,14,1,1
22019,203507,0021900385,24,4,1,1
22019,203507,0021900376,27,11,1,0
22019,203507,0021900347,35,15,1,1
22019,203507,0021900327,26,11,0,0
22019,203507,0021900307,28,9,0,2
22019,203507,0021900297,22,15,0,0
22019,203507,0021900283,20,9,1,0
22019,203507,0021900270,32,12,2,2
22019,203507,0021900261,35,10,0,4
22019,203507,0021900248,38,14,2,0
22019,203507,0021900233,27,10,2,1
22019,203507,0021900213,36,19,3,1
22019,203507,0021900204,30,11,0,1
22019,203507,0021900192,34,10,3,1
22019,203507,0021900176,28,13,1,1
22019,203507,0021900163,36,16,3,1
22019,203507,0021900135,36,16,1,1
22019,203507,0021900124,36,13,2,2
22019,203507,0021900111,36,16,2,2
22019,203507,0021900094,27,15,0,0
22019,203507,0021900082,36,15,1,4
22019,203507,0021900071,30,14,2,0
22019,203507,0021900058,35,14,1,2
22019,203507,0021900046,29,10,0,2
22019,203507,0021900026,37,17,3,2
22019,203507,0021900015,28,13,1,1
22018,203497,0021801217,35,10,1,2
22018,203497,0021801208,36,10,0,2
22018,203497,0021801188,29,11,3,4
22018,203497,0021801174,36,13,0,5
22018,203497,0021801159,39,18,0,3
